CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Manslaughter,,,,,,,,,,,,AREA-J ELEMORO,2017
Attempted Murder,2.0,,2.0,2.0,,,,,,,,AREA-J ELEMORO,2017
Suicide,1.0,,1.0,,,,,,,1.0,,AREA-J ELEMORO,2017
Attempted Suicide,,,,,,,,,,,,AREA-J ELEMORO,2017
Grievous Harm and Wounding,200.0,45.0,154.0,210.0,15.0,3.0,,,,,,AREA-J ELEMORO,2017
Assaults,340.0,51.0,289.0,400.0,20.0,3.0,,,,,,AREA-J ELEMORO,2017
Child stealing,,,,,,,,,,,,AREA-J ELEMORO,2017
Slave Dealing,3.0,,3.0,3.0,,,,,,,,AREA-J ELEMORO,2017
Rape and Incident Assault,20.0,2.0,18.0,20.0,1.0,,,,,,,AREA-J ELEMORO,2017
Kidnapping,2.0,,2.0,2.0,,,,,,,,AREA-J ELEMORO,2017
Unnatural Offences,10.0,2.0,9.0,12.0,2.0,,,,,,,AREA-J ELEMORO,2017
Other Offences,100.0,12.0,88.0,113.0,5.0,1.0,,,,,,AREA-J ELEMORO,2017
Armed Robbery,2.0,,2.0,5.0,1.0,,,,,,,AREA-J ELEMORO,2017
Demanding With Menance,5.0,1.0,4.0,5.0,,,,,,,,AREA-J ELEMORO,2017
Theft and other Stealing,400.0,34.0,366.0,500.0,18.0,5.0,,,,,,AREA-J ELEMORO,2017
Burglary,50.0,4.0,46.0,62.0,,,,,,,,AREA-J ELEMORO,2017
House Breaking,30.0,2.0,28.0,35.0,1.0,,,,,,,AREA-J ELEMORO,2017
Store Breaking,10.0,2.0,8.0,15.0,,,,,,,,AREA-J ELEMORO,2017
"False Pretences, Cheating",250.0,23.0,277.0,300.0,10.0,,,,,,,AREA-J ELEMORO,2017
Forgery,20.0,2.0,18.0,22.0,1.0,,,,,,,AREA-J ELEMORO,2017
Receiving Stolen Property,5.0,1.0,4.0,6.0,1.0,,,,,,,AREA-J ELEMORO,2017
Unlawful Possession,22.0,2.0,20.0,28.0,2.0,,,,,,,AREA-J ELEMORO,2017
Arson,5.0,2.0,3.0,5.0,1.0,,,,,,,AREA-J ELEMORO,2017
Other Offences,130.0,12.0,118.0,140.0,4.0,1.0,,,,,2.0,AREA-J ELEMORO,2017
Forgery of Currency Notes,,,,,,,,,,,,AREA-J ELEMORO,2017
Coining Offences,,,,,,,,,,,,AREA-J ELEMORO,2017
Gambling,3.0,,3.0,4.0,1.0,,,,,,,AREA-J ELEMORO,2017
Breach of Public Peace,320.0,28.0,292.0,346.0,5.0,1.0,,,,,,AREA-J ELEMORO,2017
Perjury,1.0,,1.0,1.0,,,,,,,,AREA-J ELEMORO,2017
Bribery and Corruption,,,,,,,,,,,,AREA-J ELEMORO,2017
Escape from Lawful Custody,,,,,,,,,,,,AREA-J ELEMORO,2017
Other Offences,24.0,2.0,22.0,31.0,1.0,,,,,,,AREA-J ELEMORO,2017
Offences Against Traffic Acts,,,,,,,,,,,,AREA-J ELEMORO,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-J ELEMORO,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-J ELEMORO,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-J ELEMORO,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-J ELEMORO,2017
Narcotics,,,,,,,,,,,,AREA-J ELEMORO,2017
Other Offences,,,,,,,,,,,,AREA-J ELEMORO,2017
Murder,2.0,2.0,2.0,2.0,,,,,,2.0,,AREA-K MOROGBO,2017
Manslaughter,,,,,,,,,,,,AREA-K MOROGBO,2017
Attempted Murder,1.0,,1.0,1.0,,,,,,1.0,,AREA-K MOROGBO,2017
Suicide,1.0,,1.0,,,,,,,1.0,,AREA-K MOROGBO,2017
Attempted Suicide,,,,,,,,,,,,AREA-K MOROGBO,2017
Grievous Harm and Wounding,410.0,40.0,370.0,424.0,18.0,2.0,,,,,4.0,AREA-K MOROGBO,2017
Assaults,506.0,45.0,461.0,520.0,20.0,3.0,,,,,3.0,AREA-K MOROGBO,2017
Child stealing,3.0,1.0,2.0,5.0,,,,,,,,AREA-K MOROGBO,2017
Slave Dealing,1.0,,1.0,1.0,,,,,,,,AREA-K MOROGBO,2017
Rape and Incident Assault,25.0,2.0,23.0,30.0,1.0,,,,,,,AREA-K MOROGBO,2017
Kidnapping,2.0,,2.0,3.0,1.0,,,,,,,AREA-K MOROGBO,2017
Unnatural Offences,6.0,1.0,5.0,7.0,2.0,,,,,,,AREA-K MOROGBO,2017
Other Offences,187.0,13.0,174.0,200.0,5.0,,,,,,,AREA-K MOROGBO,2017
Armed Robbery,20.0,,20.0,24.0,1.0,,,,,1.0,,AREA-K MOROGBO,2017
Demanding With Menance,3.0,1.0,2.0,3.0,,,,,,,,AREA-K MOROGBO,2017
Theft and other Stealing,900.0,74.0,826.0,1000.0,19.0,3.0,,,,,1.0,AREA-K MOROGBO,2017
Burglary,80.0,4.0,76.0,90.0,,,,,,,,AREA-K MOROGBO,2017
House Breaking,24.0,2.0,22.0,32.0,1.0,,,,,,,AREA-K MOROGBO,2017
Store Breaking,25.0,4.0,21.0,32.0,,,,,,,,AREA-K MOROGBO,2017
"False Pretences, Cheating",250.0,25.0,225.0,270.0,10.0,1.0,,,,,,AREA-K MOROGBO,2017
Forgery,20.0,2.0,18.0,24.0,1.0,,,,,,,AREA-K MOROGBO,2017
Receiving Stolen Property,8.0,1.0,7.0,10.0,1.0,,,,,,1.0,AREA-K MOROGBO,2017
Unlawful Possession,40.0,4.0,36.0,48.0,2.0,,,,,,,AREA-K MOROGBO,2017
Arson,10.0,1.0,9.0,10.0,1.0,,,,,,,AREA-K MOROGBO,2017
Other Offences,150.0,12.0,138.0,180.0,6.0,1.0,,,,,1.0,AREA-K MOROGBO,2017
Forgery of Currency Notes,1.0,,1.0,1.0,,,,,,,,AREA-K MOROGBO,2017
Coining Offences,1.0,,1.0,1.0,1.0,,,,,,,AREA-K MOROGBO,2017
Gambling,2.0,,2.0,4.0,,,,,,,,AREA-K MOROGBO,2017
Breach of Public Peace,378.0,46.0,332.0,406.0,7.0,1.0,,,,,,AREA-K MOROGBO,2017
Perjury,3.0,,3.0,3.0,,,,,,,,AREA-K MOROGBO,2017
Bribery and Corruption,,,,,,,,,,,,AREA-K MOROGBO,2017
Escape from Lawful Custody,,,,,,,,,,,,AREA-K MOROGBO,2017
Other Offences,30.0,3.0,27.0,40.0,1.0,,,,,,,AREA-K MOROGBO,2017
Offences Against Traffic Acts,5.0,,5.0,5.0,,,,,,,,AREA-K MOROGBO,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-K MOROGBO,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-K MOROGBO,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-K MOROGBO,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-K MOROGBO,2017
Narcotics,,,,,,,,,,,,AREA-K MOROGBO,2017
Other Offences,,,,,,,,,,,,AREA-K MOROGBO,2017
Murder,1.0,,1.0,1.0,,,,,,1.0,,AREA-L ILASHE,2017
Manslaughter,,,,,,,,,,,,AREA-L ILASHE,2017
Attempted Murder,1.0,,1.0,1.0,,,,,,,,AREA-L ILASHE,2017
Suicide,,,,,,,,,,,,AREA-L ILASHE,2017
Attempted Suicide,,,,,,,,,,,,AREA-L ILASHE,2017
Grievous Harm and Wounding,300.0,40.0,260.0,380.0,10.0,2.0,,,,,5.0,AREA-L ILASHE,2017
Assaults,420.0,50.0,370.0,452.0,20.0,3.0,,,,,2.0,AREA-L ILASHE,2017
Child stealing,2.0,1.0,1.0,2.0,,,,,,,,AREA-L ILASHE,2017
Slave Dealing,,,,,,,,,,,,AREA-L ILASHE,2017
Rape and Incident Assault,15.0,3.0,12.0,16.0,1.0,,,,,,,AREA-L ILASHE,2017
Kidnapping,1.0,,1.0,2.0,,,,,,,,AREA-L ILASHE,2017
Unnatural Offences,6.0,1.0,5.0,7.0,2.0,,,,,,,AREA-L ILASHE,2017
Other Offences,80.0,8.0,72.0,100.0,4.0,1.0,,,,,1.0,AREA-L ILASHE,2017
Armed Robbery,6.0,,6.0,8.0,1.0,,,,,,,AREA-L ILASHE,2017
Demanding With Menance,2.0,,2.0,2.0,,,,,,,,AREA-L ILASHE,2017
Theft and other Stealing,396.0,50.0,346.0,400.0,14.0,3.0,,,,,,AREA-L ILASHE,2017
Burglary,10.0,,10.0,14.0,,,,,,,,AREA-L ILASHE,2017
House Breaking,12.0,2.0,10.0,10.0,,,,,,,,AREA-L ILASHE,2017
Store Breaking,,,,,,,,,,,,AREA-L ILASHE,2017
"False Pretences, Cheating",150.0,20.0,130.0,134.0,9.0,1.0,,,,,,AREA-L ILASHE,2017
Forgery,2.0,1.0,1.0,2.0,1.0,,,,,,,AREA-L ILASHE,2017
Receiving Stolen Property,5.0,1.0,4.0,5.0,,,,,,,,AREA-L ILASHE,2017
Unlawful Possession,12.0,2.0,3.0,12.0,3.0,,,,,,,AREA-L ILASHE,2017
Arson,5.0,2.0,10.0,5.0,1.0,,,,,,,AREA-L ILASHE,2017
Other Offences,30.0,4.0,26.0,30.0,2.0,,,,,,,AREA-L ILASHE,2017
Forgery of Currency Notes,,,,,,,,,,,,AREA-L ILASHE,2017
Coining Offences,,,,,,,,,,,,AREA-L ILASHE,2017
Gambling,2.0,,2.0,2.0,,,,,,,,AREA-L ILASHE,2017
Breach of Public Peace,114.0,24.0,90.0,124.0,4.0,1.0,,,,,,AREA-L ILASHE,2017
Perjury,,,,,,,,,,,,AREA-L ILASHE,2017
Bribery and Corruption,,,,,,,,,,,,AREA-L ILASHE,2017
Escape from Lawful Custody,,,,,,,,,,,,AREA-L ILASHE,2017
Other Offences,16.0,3.0,13.0,16.0,1.0,,,,,,,AREA-L ILASHE,2017
Offences Against Traffic Acts,,,,,,,,,,,,AREA-L ILASHE,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-L ILASHE,2017
Offences Against Liquor Acts,,,,,,,,,,,,AREA-L ILASHE,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-L ILASHE,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-L ILASHE,2017
Narcotics,,,,,,,,,,,,AREA-L ILASHE,2017
Other Offences,,,,,,,,,,,,AREA-L ILASHE,2017
Murder,20.0,,20.0,22.0,,,,,,20.0,,AREA-M IDIMU,2017
Manslaughter,2.0,,2.0,2.0,,,,,,2.0,,AREA-M IDIMU,2017
Attempted Murder,5.0,,5.0,5.0,,,,,,,,AREA-M IDIMU,2017
Suicide,10.0,,10.0,,,,,,,10.0,,AREA-M IDIMU,2017
Attempted Suicide,2.0,,2.0,3.0,,,,,,,,AREA-M IDIMU,2017
Grievous Harm and Wounding,633.0,70.0,563.0,696.0,30.0,10.0,,,,,35.0,AREA-M IDIMU,2017
Assaults,820.0,90.0,730.0,850.0,31.0,15.0,,,,,20.0,AREA-M IDIMU,2017
Child stealing,20.0,2.0,18.0,24.0,2.0,,,,,,,AREA-M IDIMU,2017
Slave Dealing,10.0,,10.0,12.0,,,,,,,,AREA-M IDIMU,2017
Rape and Incident Assault,66.0,5.0,61.0,70.0,3.0,,,,,,,AREA-M IDIMU,2017
Kidnapping,10.0,,10.0,14.0,1.0,,,,,,,AREA-M IDIMU,2017
Unnatural Offences,40.0,3.0,37.0,54.0,6.0,,,,,,,AREA-M IDIMU,2017
Other Offences,321.0,18.0,303.0,400.0,30.0,5.0,,,,,,AREA-M IDIMU,2017
Armed Robbery,72.0,,72.0,85.0,6.0,,,,,,6.0,AREA-M IDIMU,2017
Demanding With Menance,15.0,2.0,13.0,16.0,,,,,,4.0,,AREA-M IDIMU,2017
Theft and other Stealing,980.0,74.0,906.0,1200.0,28.0,15.0,,,,,4.0,AREA-M IDIMU,2017
Burglary,160.0,16.0,144.0,175.0,,,,,,,,AREA-M IDIMU,2017
House Breaking,80.0,7.0,73.0,80.0,1.0,,,,,,,AREA-M IDIMU,2017
Store Breaking,50.0,2.0,48.0,65.0,,,,,,,,AREA-M IDIMU,2017
"False Pretences, Cheating",680.0,48.0,632.0,740.0,21.0,6.0,,,,,7.0,AREA-M IDIMU,2017
Forgery,54.0,8.0,46.0,56.0,4.0,,,,,,,AREA-M IDIMU,2017
Receiving Stolen Property,40.0,3.0,37.0,58.0,2.0,,,,,,,AREA-M IDIMU,2017
Unlawful Possession,96.0,6.0,90.0,110.0,9.0,,,,,,,AREA-M IDIMU,2017
Arson,45.0,6.0,39.0,45.0,2.0,,,,,,,AREA-M IDIMU,2017
Other Offences,340.0,60.0,280.0,350.0,24.0,4.0,,,,1.0,15.0,AREA-M IDIMU,2017
Forgery of Currency Notes,6.0,,6.0,7.0,,,,,,,,AREA-M IDIMU,2017
Coining Offences,3.0,,3.0,3.0,2.0,,,,,,,AREA-M IDIMU,2017
Gambling,15.0,,15.0,20.0,2.0,,,,,,,AREA-M IDIMU,2017
Breach of Public Peace,480.0,80.0,400.0,510.0,25.0,8.0,,,,,8.0,AREA-M IDIMU,2017
Perjury,8.0,,8.0,10.0,1.0,,,,,,,AREA-M IDIMU,2017
Bribery and Corruption,1.0,,1.0,1.0,,,,,,,,AREA-M IDIMU,2017
Escape from Lawful Custody,4.0,,4.0,4.0,1.0,1.0,,,,,,AREA-M IDIMU,2017
Other Offences,130.0,10.0,120.0,130.0,8.0,,,,,,4.0,AREA-M IDIMU,2017
Offences Against Traffic Acts,50.0,,50.0,40.0,2.0,,,,,,,AREA-M IDIMU,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-M IDIMU,2017
Offences Against Liquor Acts,2.0,,2.0,2.0,,,,,,,,AREA-M IDIMU,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-M IDIMU,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-M IDIMU,2017
Narcotics,,,,,,,,,,,,AREA-M IDIMU,2017
Other Offences,,,,,,,,,,,,AREA-M IDIMU,2017
Murder,48.0,2.0,46.0,47.0,1.0,,,,,46.0,,AREA-N IJEDE,2017
Manslaughter,4.0,,4.0,5.0,,,,,,4.0,,AREA-N IJEDE,2017
Attempted Murder,20.0,,20.0,20.0,1.0,,,,,,,AREA-N IJEDE,2017
Suicide,15.0,,15.0,,,,,,,15.0,,AREA-N IJEDE,2017
Attempted Suicide,1.0,,1.0,1.0,,,,,,,,AREA-N IJEDE,2017
Grievous Harm and Wounding,650.0,60.0,590.0,680.0,23.0,10.0,3.0,,,,25.0,AREA-N IJEDE,2017
Assaults,734.0,72.0,662.0,700.0,30.0,24.0,4.0,,,,15.0,AREA-N IJEDE,2017
Child stealing,10.0,1.0,9.0,10.0,1.0,,,,,,,AREA-N IJEDE,2017
Slave Dealing,8.0,,8.0,10.0,1.0,,,,,,,AREA-N IJEDE,2017
Rape and Incident Assault,45.0,1.0,44.0,46.0,3.0,2.0,,,,,,AREA-N IJEDE,2017
Kidnapping,52.0,1.0,50.0,80.0,4.0,2.0,,,,,,AREA-N IJEDE,2017
Unnatural Offences,70.0,7.0,63.0,75.0,10.0,2.0,,,,,4.0,AREA-N IJEDE,2017
Other Offences,305.0,50.0,255.0,350.0,18.0,6.0,5.0,,,2.0,10.0,AREA-N IJEDE,2017
Armed Robbery,58.0,1.0,57.0,60.0,5.0,2.0,,,,7.0,3.0,AREA-N IJEDE,2017
Demanding With Menance,10.0,1.0,9.0,12.0,,,,,,,,AREA-N IJEDE,2017
Theft and other Stealing,1000.0,85.0,915.0,1100.0,30.0,31.0,4.0,,,,8.0,AREA-N IJEDE,2017
Burglary,96.0,11.0,85.0,120.0,2.0,2.0,,,,,,AREA-N IJEDE,2017
House Breaking,60.0,7.0,53.0,62.0,3.0,,,,,,,AREA-N IJEDE,2017
Store Breaking,32.0,4.0,28.0,42.0,2.0,,,,,,,AREA-N IJEDE,2017
"False Pretences, Cheating",510.0,35.0,475.0,520.0,20.0,6.0,,,,,7.0,AREA-N IJEDE,2017
Forgery,40.0,4.0,36.0,50.0,2.0,1.0,,,,,,AREA-N IJEDE,2017
Receiving Stolen Property,18.0,2.0,16.0,23.0,4.0,,,,,,,AREA-N IJEDE,2017
Unlawful Possession,59.0,9.0,50.0,70.0,10.0,,,,,,,AREA-N IJEDE,2017
Arson,20.0,3.0,17.0,25.0,3.0,,,,,,,AREA-N IJEDE,2017
Other Offences,180.0,19.0,161.0,220.0,12.0,4.0,2.0,,,,9.0,AREA-N IJEDE,2017
Forgery of Currency Notes,2.0,,2.0,3.0,,,,,,,,AREA-N IJEDE,2017
Coining Offences,1.0,,1.0,2.0,1.0,,,,,,,AREA-N IJEDE,2017
Gambling,6.0,1.0,5.0,8.0,2.0,,,,,,,AREA-N IJEDE,2017
Breach of Public Peace,490.0,62.0,428.0,530.0,9.0,6.0,,,,,6.0,AREA-N IJEDE,2017
Perjury,3.0,1.0,2.0,5.0,1.0,1.0,,,,,,AREA-N IJEDE,2017
Bribery and Corruption,1.0,,1.0,1.0,,,,,,,,AREA-N IJEDE,2017
Escape from Lawful Custody,4.0,,5.0,5.0,1.0,,,,,,4.0,AREA-N IJEDE,2017
Other Offences,60.0,8.0,52.0,70.0,6.0,1.0,,,,,,AREA-N IJEDE,2017
Offences Against Traffic Acts,17.0,1.0,16.0,18.0,2.0,,,,,,,AREA-N IJEDE,2017
Offences Against Township Acts,,,,,,,,,,,,AREA-N IJEDE,2017
Offences Against Liquor Acts,,,,1.0,,,,,,,,AREA-N IJEDE,2017
Offences Against Dog Acts,,,,,,,,,,,,AREA-N IJEDE,2017
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-N IJEDE,2017
Narcotics,,,,,,,,,,,,AREA-N IJEDE,2017
Other Offences,,,,,,,,,,,,AREA-N IJEDE,2017
