CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Other Offences,300.0,60.0,240.0,330.0,8.0,5.0,,,,2.0,6.0,AREA-H OGUDU,2016
Armed Robbery,15.0,,15.0,18.0,2.0,,,,,1.0,,AREA-H OGUDU,2016
Demanding With Menance,50.0,2.0,48.0,50.0,3.0,2.0,,,,,,AREA-H OGUDU,2016
Theft and other Stealing,1200.0,70.0,1130.0,1220.0,40.0,5.0,2.0,,,,70.0,AREA-H OGUDU,2016
Burglary,170.0,10.0,160.0,130.0,5.0,2.0,,,,,,AREA-H OGUDU,2016
House Breaking,80.0,6.0,74.0,105.0,2.0,2.0,,,,,,AREA-H OGUDU,2016
Store Breaking,50.0,1.0,49.0,60.0,1.0,1.0,,,,,,AREA-H OGUDU,2016
"False Pretences, Cheating",680.0,50.0,630.0,690.0,20.0,3.0,,,,,,AREA-H OGUDU,2016
Forgery,50.0,2.0,48.0,55.0,2.0,,,,,,,AREA-H OGUDU,2016
Receiving Stolen Property,16.0,,16.0,30.0,3.0,,,,,,,AREA-H OGUDU,2016
Unlawful Possession,120.0,8.0,112.0,150.0,10.0,1.0,,,,,,AREA-H OGUDU,2016
Arson,40.0,2.0,38.0,20.0,4.0,,,,,,,AREA-H OGUDU,2016
Other Offences,300.0,40.0,260.0,310.0,15.0,3.0,,,,,10.0,AREA-H OGUDU,2016
Forgery of Currency Notes,15.0,,15.0,20.0,1.0,,,,,,,AREA-H OGUDU,2016
Coining Offences,2.0,,2.0,2.0,2.0,,,,,,,AREA-H OGUDU,2016
Gambling,6.0,,6.0,7.0,1.0,,,,,,,AREA-H OGUDU,2016
Breach of Public Peace,650.0,50.0,600.0,654.0,20.0,4.0,2.0,,,,3.0,AREA-H OGUDU,2016
Perjury,3.0,1.0,2.0,5.0,1.0,,,,,,,AREA-H OGUDU,2016
Bribery and Corruption,,,,,,,,,,,,AREA-H OGUDU,2016
Escape from Lawful Custody,5.0,1.0,4.0,8.0,,,,,,,,AREA-H OGUDU,2016
Other Offences,60.0,7.0,53.0,60.0,8.0,1.0,,,,,5.0,AREA-H OGUDU,2016
Offences Against Traffic Acts,40.0,2.0,38.0,28.0,,,,,,,,AREA-H OGUDU,2016
Offences Against Township Acts,,,,,,,,,,,,AREA-H OGUDU,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-H OGUDU,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-H OGUDU,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-H OGUDU,2016
Narcotics,,,,,,,,,,,,AREA-H OGUDU,2016
Other Offences,2.0,,2.0,2.0,,,,,,,,AREA-H OGUDU,2016
Murder,2.0,,2.0,2.0,,,,,,3.0,,AREA-J ELEMORO,2016
Manslaughter,,,,,,,,,,,,AREA-J ELEMORO,2016
Attempted Murder,,,,,,,,,,,,AREA-J ELEMORO,2016
Suicide,,,,,,,,,,,,AREA-J ELEMORO,2016
Attempted Suicide,,,,,,,,,,,,AREA-J ELEMORO,2016
Grievous Harm and Wounding,60.0,2.0,58.0,60.0,10.0,1.0,,,,,3.0,AREA-J ELEMORO,2016
Assaults,90.0,6.0,84.0,90.0,8.0,,,,,,2.0,AREA-J ELEMORO,2016
Child stealing,1.0,,1.0,2.0,1.0,,,,,,,AREA-J ELEMORO,2016
Slave Dealing,,,,,,,,,,,,AREA-J ELEMORO,2016
Rape and Incident Assault,3.0,,3.0,4.0,,,,,,,,AREA-J ELEMORO,2016
Kidnapping,,,,,,,,,,,,AREA-J ELEMORO,2016
Unnatural Offences,1.0,,1.0,6.0,1.0,2.0,,1.0,,,,AREA-J ELEMORO,2016
Other Offences,50.0,2.0,48.0,60.0,2.0,,1.0,,1.0,,2.0,AREA-J ELEMORO,2016
Armed Robbery,2.0,,2.0,2.0,,,,,,,,AREA-J ELEMORO,2016
Demanding With Menance,5.0,,5.0,5.0,1.0,,,,,,,AREA-J ELEMORO,2016
Theft and other Stealing,120.0,4.0,116.0,120.0,7.0,,,,,,2.0,AREA-J ELEMORO,2016
Burglary,15.0,,15.0,15.0,2.0,,,,,,,AREA-J ELEMORO,2016
House Breaking,8.0,,8.0,8.0,1.0,,,,,,,AREA-J ELEMORO,2016
Store Breaking,4.0,,4.0,5.0,,,,,,,,AREA-J ELEMORO,2016
"False Pretences, Cheating",80.0,,80.0,80.0,3.0,,,,,,,AREA-J ELEMORO,2016
Forgery,3.0,,3.0,3.0,1.0,,,,,,,AREA-J ELEMORO,2016
Receiving Stolen Property,,,,,,,,,,,,AREA-J ELEMORO,2016
Unlawful Possession,12.0,,12.0,14.0,1.0,,,,,,,AREA-J ELEMORO,2016
Arson,5.0,,5.0,3.0,2.0,,,,,,,AREA-J ELEMORO,2016
Other Offences,35.0,1.0,34.0,36.0,2.0,,,,,,,AREA-J ELEMORO,2016
Forgery of Currency Notes,2.0,,2.0,3.0,,,,,,,,AREA-J ELEMORO,2016
Coining Offences,,,,,,,,,,,,AREA-J ELEMORO,2016
Gambling,1.0,,1.0,4.0,1.0,,,,,,,AREA-J ELEMORO,2016
Breach of Public Peace,110.0,10.0,100.0,140.0,2.0,3.0,,,,,,AREA-J ELEMORO,2016
Perjury,,,,,,,,,,,,AREA-J ELEMORO,2016
Bribery and Corruption,,,,,,,,,,,,AREA-J ELEMORO,2016
Escape from Lawful Custody,,,,,,,,,,,,AREA-J ELEMORO,2016
Other Offences,8.0,,8.0,8.0,2.0,1.0,,,,,,AREA-J ELEMORO,2016
Offences Against Traffic Acts,5.0,,5.0,6.0,2.0,,,,,,,AREA-J ELEMORO,2016
Offences Against Township Acts,,,,,,,,,,,,AREA-J ELEMORO,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-J ELEMORO,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-J ELEMORO,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-J ELEMORO,2016
Narcotics,,,,,,,,,,,,AREA-J ELEMORO,2016
Other Offences,1.0,,1.0,2.0,,,,,,,,AREA-J ELEMORO,2016
Murder,5.0,,5.0,5.0,,,,,,6.0,,AREA-K MOROGBO,2016
Manslaughter,,,,,,,,,,,,AREA-K MOROGBO,2016
Attempted Murder,,,,,,,,,,,,AREA-K MOROGBO,2016
Suicide,,,,,,,,,,,,AREA-K MOROGBO,2016
Attempted Suicide,,,,,,,,,,,,AREA-K MOROGBO,2016
Grievous Harm and Wounding,200.0,10.0,190.0,200.0,15.0,2.0,,,,,10.0,AREA-K MOROGBO,2016
Assaults,400.0,20.0,380.0,400.0,20.0,,,,,,,AREA-K MOROGBO,2016
Child stealing,2.0,,2.0,2.0,1.0,,,,,,,AREA-K MOROGBO,2016
Slave Dealing,2.0,,2.0,3.0,,,,,,,,AREA-K MOROGBO,2016
Rape and Incident Assault,8.0,,8.0,12.0,1.0,,,,,,,AREA-K MOROGBO,2016
Kidnapping,1.0,,1.0,2.0,,,,,,,,AREA-K MOROGBO,2016
Unnatural Offences,4.0,,4.0,9.0,2.0,,,,,,,AREA-K MOROGBO,2016
Other Offences,180.0,3.0,177.0,150.0,5.0,,,,,,5.0,AREA-K MOROGBO,2016
Armed Robbery,5.0,,5.0,6.0,,,,,,,,AREA-K MOROGBO,2016
Demanding With Menance,18.0,,18.0,18.0,2.0,,,,,,,AREA-K MOROGBO,2016
Theft and other Stealing,450.0,15.0,435.0,450.0,20.0,3.0,,,,,15.0,AREA-K MOROGBO,2016
Burglary,60.0,,60.0,50.0,2.0,,,,,,,AREA-K MOROGBO,2016
House Breaking,40.0,1.0,39.0,41.0,2.0,,,,,,,AREA-K MOROGBO,2016
Store Breaking,12.0,,12.0,13.0,,,,,,,,AREA-K MOROGBO,2016
"False Pretences, Cheating",250.0,10.0,240.0,250.0,10.0,,,,,,,AREA-K MOROGBO,2016
Forgery,30.0,,30.0,31.0,,,,,,,,AREA-K MOROGBO,2016
Receiving Stolen Property,3.0,,3.0,6.0,,,,,,,,AREA-K MOROGBO,2016
Unlawful Possession,40.0,,40.0,45.0,,,,,,,,AREA-K MOROGBO,2016
Arson,12.0,,12.0,13.0,,,,,,,,AREA-K MOROGBO,2016
Other Offences,90.0,3.0,87.0,92.0,3.0,,,,,,5.0,AREA-K MOROGBO,2016
Forgery of Currency Notes,4.0,,4.0,5.0,,,,,,,,AREA-K MOROGBO,2016
Coining Offences,,,,,,,,,,,,AREA-K MOROGBO,2016
Gambling,1.0,,1.0,1.0,,,,,,,,AREA-K MOROGBO,2016
Breach of Public Peace,300.0,10.0,390.0,320.0,8.0,1.0,,,,,,AREA-K MOROGBO,2016
Perjury,,,,,,,,,,,,AREA-K MOROGBO,2016
Bribery and Corruption,,,,,,,,,,,,AREA-K MOROGBO,2016
Escape from Lawful Custody,2.0,,2.0,4.0,1.0,,,,,,,AREA-K MOROGBO,2016
Other Offences,25.0,,25.0,25.0,2.0,,,,,,,AREA-K MOROGBO,2016
Offences Against Traffic Acts,10.0,,10.0,10.0,1.0,,,,,,,AREA-K MOROGBO,2016
Offences Against Township Acts,,,,,,,,,,,,AREA-K MOROGBO,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-K MOROGBO,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-K MOROGBO,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-K MOROGBO,2016
Narcotics,,,,,,,,,,,,AREA-K MOROGBO,2016
Other Offences,2.0,,2.0,3.0,,,1.0,,,,,AREA-K MOROGBO,2016
Murder,1.0,,1.0,1.0,,,,,,1.0,,AREA-L ILASHE,2016
Manslaughter,,,,,,,,,,,,AREA-L ILASHE,2016
Attempted Murder,,,,,,,,,,,,AREA-L ILASHE,2016
Suicide,,,,,,,,,,,,AREA-L ILASHE,2016
Attempted Suicide,,,,,,,,,,,,AREA-L ILASHE,2016
Grievous Harm and Wounding,90.0,3.0,87.0,90.0,5.0,2.0,,,,,7.0,AREA-L ILASHE,2016
Assaults,110.0,4.0,106.0,110.0,12.0,,,,,,3.0,AREA-L ILASHE,2016
Child stealing,,,,,,,,,,,,AREA-L ILASHE,2016
Slave Dealing,1.0,,1.0,1.0,,,,,,,,AREA-L ILASHE,2016
Rape and Incident Assault,4.0,,4.0,4.0,,,,,,,,AREA-L ILASHE,2016
Kidnapping,,,,,,,,,,,,AREA-L ILASHE,2016
Unnatural Offences,2.0,,2.0,8.0,,1.0,2.0,,1.0,,,AREA-L ILASHE,2016
Other Offences,70.0,5.0,65.0,70.0,2.0,1.0,,1.0,,,3.0,AREA-L ILASHE,2016
Armed Robbery,1.0,,1.0,2.0,,,,,,,,AREA-L ILASHE,2016
Demanding With Menance,7.0,,7.0,7.0,2.0,,,,,,,AREA-L ILASHE,2016
Theft and other Stealing,150.0,6.0,144.0,150.0,5.0,,,,,,3.0,AREA-L ILASHE,2016
Burglary,25.0,,25.0,25.0,2.0,,,,,,,AREA-L ILASHE,2016
House Breaking,12.0,,12.0,12.0,1.0,,,,,,,AREA-L ILASHE,2016
Store Breaking,4.0,,4.0,5.0,,,,,,,,AREA-L ILASHE,2016
"False Pretences, Cheating",70.0,,70.0,70.0,2.0,,,,,,,AREA-L ILASHE,2016
Forgery,2.0,,2.0,3.0,1.0,,,,,,,AREA-L ILASHE,2016
Receiving Stolen Property,2.0,,2.0,4.0,,,,,,,,AREA-L ILASHE,2016
Unlawful Possession,8.0,,8.0,11.0,2.0,,,,,,,AREA-L ILASHE,2016
Arson,3.0,,3.0,2.0,1.0,,,,,,,AREA-L ILASHE,2016
Other Offences,45.0,1.0,44.0,47.0,1.0,,,,,,,AREA-L ILASHE,2016
Forgery of Currency Notes,2.0,,2.0,3.0,,,,,,,,AREA-L ILASHE,2016
Coining Offences,,,,,,,,,,,,AREA-L ILASHE,2016
Gambling,1.0,,1.0,2.0,,,,,,,,AREA-L ILASHE,2016
Breach of Public Peace,90.0,6.0,84.0,110.0,1.0,4.0,,,,,,AREA-L ILASHE,2016
Perjury,,,,,,,,,,,,AREA-L ILASHE,2016
Bribery and Corruption,,,,,,,,,,,,AREA-L ILASHE,2016
Escape from Lawful Custody,,,,,,,,,,,,AREA-L ILASHE,2016
Other Offences,7.0,,7.0,7.0,1.0,2.0,,,,,,AREA-L ILASHE,2016
Offences Against Traffic Acts,,,,,,,,,,,,AREA-L ILASHE,2016
Offences Against Township Acts,,,,,,,,,,,,AREA-L ILASHE,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-L ILASHE,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-L ILASHE,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-L ILASHE,2016
Narcotics,,,,,,,,,,,,AREA-L ILASHE,2016
Other Offences,2.0,1.0,1.0,2.0,,,,,,,,AREA-L ILASHE,2016
Murder,30.0,,30.0,32.0,1.0,,,,,34.0,,AREA-M IDIMU,2016
Manslaughter,2.0,,2.0,2.0,,,,,,2.0,,AREA-M IDIMU,2016
Attempted Murder,8.0,,8.0,8.0,1.0,,,,,,,AREA-M IDIMU,2016
Suicide,7.0,,7.0,,,,,,,7.0,,AREA-M IDIMU,2016
Attempted Suicide,4.0,,4.0,5.0,1.0,,,,,,,AREA-M IDIMU,2016
Grievous Harm and Wounding,700.0,72.0,628.0,600.0,53.0,10.0,3.0,,,2.0,50.0,AREA-M IDIMU,2016
Assaults,1220.0,100.0,1120.0,1200.0,72.0,5.0,4.0,1.0,,,55.0,AREA-M IDIMU,2016
Child stealing,14.0,3.0,11.0,10.0,3.0,,,,,,,AREA-M IDIMU,2016
Slave Dealing,15.0,,15.0,18.0,2.0,,,,,,,AREA-M IDIMU,2016
Rape and Incident Assault,80.0,15.0,65.0,90.0,5.0,2.0,,,,,3.0,AREA-M IDIMU,2016
Kidnapping,3.0,1.0,2.0,4.0,3.0,1.0,,,,,,AREA-M IDIMU,2016
Unnatural Offences,20.0,8.0,12.0,28.0,2.0,1.0,,,,,2.0,AREA-M IDIMU,2016
Other Offences,340.0,50.0,290.0,350.0,18.0,5.0,1.0,,,2.0,10.0,AREA-M IDIMU,2016
Armed Robbery,40.0,2.0,38.0,42.0,4.0,,,,,2.0,2.0,AREA-M IDIMU,2016
Demanding With Menance,50.0,5.0,45.0,60.0,3.0,2.0,1.0,,,,,AREA-M IDIMU,2016
Theft and other Stealing,900.0,100.0,800.0,770.0,40.0,10.0,1.0,,,,80.0,AREA-M IDIMU,2016
Burglary,150.0,20.0,130.0,90.0,8.0,2.0,,,,,,AREA-M IDIMU,2016
House Breaking,90.0,6.0,84.0,100.0,4.0,1.0,,,,,,AREA-M IDIMU,2016
Store Breaking,70.0,3.0,67.0,85.0,3.0,1.0,,,,,3.0,AREA-M IDIMU,2016
"False Pretences, Cheating",500.0,60.0,440.0,510.0,15.0,2.0,1.0,,,,,AREA-M IDIMU,2016
Forgery,45.0,2.0,43.0,50.0,4.0,,,,,,,AREA-M IDIMU,2016
Receiving Stolen Property,14.0,3.0,11.0,19.0,3.0,,,,,,,AREA-M IDIMU,2016
Unlawful Possession,100.0,10.0,90.0,120.0,7.0,1.0,,,,,,AREA-M IDIMU,2016
Arson,30.0,2.0,28.0,20.0,2.0,,,,,1.0,,AREA-M IDIMU,2016
Other Offences,250.0,40.0,210.0,270.0,15.0,3.0,1.0,,,,10.0,AREA-M IDIMU,2016
Forgery of Currency Notes,15.0,2.0,13.0,16.0,1.0,,,,,,,AREA-M IDIMU,2016
Coining Offences,3.0,,3.0,4.0,2.0,,,,,,,AREA-M IDIMU,2016
Gambling,10.0,,10.0,16.0,3.0,,,,,,,AREA-M IDIMU,2016
Breach of Public Peace,536.0,60.0,476.0,600.0,20.0,12.0,2.0,,,,2.0,AREA-M IDIMU,2016
Perjury,9.0,2.0,7.0,10.0,1.0,,,,,,,AREA-M IDIMU,2016
Bribery and Corruption,3.0,,3.0,4.0,,,,,,,,AREA-M IDIMU,2016
Escape from Lawful Custody,10.0,,10.0,10.0,1.0,,,,,,,AREA-M IDIMU,2016
Other Offences,105.0,13.0,92.0,125.0,4.0,,,,,,,AREA-M IDIMU,2016
Offences Against Traffic Acts,25.0,3.0,22.0,25.0,,,,,,,,AREA-M IDIMU,2016
Offences Against Township Acts,2.0,,2.0,2.0,,,,,,,,AREA-M IDIMU,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-M IDIMU,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-M IDIMU,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-M IDIMU,2016
Narcotics,1.0,,1.0,2.0,,,,,,,,AREA-M IDIMU,2016
Other Offences,2.0,,2.0,2.0,,,,,,,,AREA-M IDIMU,2016
Murder,23.0,,23.0,24.0,2.0,,,,,22.0,,AREA-N IJEDE,2016
Manslaughter,2.0,,2.0,2.0,,,,,,2.0,,AREA-N IJEDE,2016
Attempted Murder,8.0,,8.0,6.0,2.0,,,,,,,AREA-N IJEDE,2016
Suicide,5.0,,5.0,,,,,,,5.0,,AREA-N IJEDE,2016
Attempted Suicide,6.0,,6.0,7.0,,,,,,,,AREA-N IJEDE,2016
Grievous Harm and Wounding,609.0,72.0,537.0,530.0,6.0,4.0,1.0,,,2.0,30.0,AREA-N IJEDE,2016
Assaults,940.0,90.0,850.0,900.0,30.0,5.0,5.0,,,,20.0,AREA-N IJEDE,2016
Child stealing,10.0,3.0,7.0,10.0,2.0,,,,,,,AREA-N IJEDE,2016
Slave Dealing,14.0,,14.0,20.0,1.0,,,,,,,AREA-N IJEDE,2016
Rape and Incident Assault,90.0,10.0,80.0,100.0,2.0,1.0,,,,,,AREA-N IJEDE,2016
Kidnapping,60.0,2.0,58.0,52.0,4.0,,,,,,,AREA-N IJEDE,2016
Unnatural Offences,30.0,7.0,23.0,25.0,5.0,2.0,1.0,,,,4.0,AREA-N IJEDE,2016
Other Offences,500.0,70.0,430.0,463.0,24.0,6.0,1.0,,,2.0,10.0,AREA-N IJEDE,2016
Armed Robbery,40.0,1.0,39.0,50.0,6.0,,,,,2.0,2.0,AREA-N IJEDE,2016
Demanding With Menance,100.0,2.0,98.0,100.0,7.0,3.0,,,,,,AREA-N IJEDE,2016
Theft and other Stealing,1020.0,110.0,910.0,1230.0,70.0,10.0,1.0,,,,100.0,AREA-N IJEDE,2016
Burglary,200.0,10.0,190.0,150.0,7.0,2.0,,,,,,AREA-N IJEDE,2016
House Breaking,90.0,4.0,86.0,100.0,3.0,1.0,,,,,,AREA-N IJEDE,2016
Store Breaking,80.0,,80.0,95.0,4.0,1.0,,,,,,AREA-N IJEDE,2016
"False Pretences, Cheating",650.0,50.0,600.0,650.0,20.0,2.0,,,,,,AREA-N IJEDE,2016
Forgery,40.0,,40.0,50.0,3.0,,,,,,,AREA-N IJEDE,2016
Receiving Stolen Property,20.0,2.0,18.0,29.0,2.0,,,,,,,AREA-N IJEDE,2016
Unlawful Possession,100.0,10.0,90.0,150.0,7.0,1.0,,,,,,AREA-N IJEDE,2016
Arson,40.0,1.0,39.0,30.0,,,,,,,,AREA-N IJEDE,2016
Other Offences,300.0,45.0,255.0,320.0,15.0,2.0,,,,,20.0,AREA-N IJEDE,2016
Forgery of Currency Notes,15.0,,15.0,16.0,2.0,,,,,,,AREA-N IJEDE,2016
Coining Offences,1.0,,1.0,1.0,1.0,,,,,,,AREA-N IJEDE,2016
Gambling,8.0,,8.0,10.0,2.0,,,,,,,AREA-N IJEDE,2016
Breach of Public Peace,1100.0,85.0,1015.0,1200.0,10.0,4.0,2.0,,,,3.0,AREA-N IJEDE,2016
Perjury,4.0,,4.0,6.0,,,,,,,,AREA-N IJEDE,2016
Bribery and Corruption,,,,,,,,,,,,AREA-N IJEDE,2016
Escape from Lawful Custody,5.0,,5.0,5.0,1.0,,,,,,,AREA-N IJEDE,2016
Other Offences,55.0,5.0,50.0,55.0,6.0,,,,,,,AREA-N IJEDE,2016
Offences Against Traffic Acts,25.0,3.0,22.0,10.0,2.0,,,,,,,AREA-N IJEDE,2016
Offences Against Township Acts,1.0,,1.0,2.0,,,,,,,,AREA-N IJEDE,2016
Offences Against Liquor Acts,,,,,,,,,,,,AREA-N IJEDE,2016
Offences Against Dog Acts,,,,,,,,,,,,AREA-N IJEDE,2016
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-N IJEDE,2016
Narcotics,,,,,,,,,,,,AREA-N IJEDE,2016
Other Offences,1.0,,1.0,1.0,,,,,,,,AREA-N IJEDE,2016
