CRIME,Case_Reported,Case_Refused,True_case,Adult_M,Adult_F,Age(14-17)_M,Age(14-17)_F,Under 17_M,Under 17_F,No. of Victims(Killed),No. of Victims(G.B.H),Location,Year
Grievous Harm and Wounding,400.0,25.0,375.0,310.0,80.0,20.0,10.0,3.0,2.0,,110.0,AREA-H OGUDU,2015
Assaults,1010.0,60.0,950.0,900.0,140.0,40.0,15.0,3.0,,,100.0,AREA-H OGUDU,2015
Child stealing,20.0,,20.0,15.0,5.0,3.0,,,,,,AREA-H OGUDU,2015
Slave Dealing,8.0,1.0,7.0,8.0,,,,,,,,AREA-H OGUDU,2015
Rape and Incident Assault,70.0,5.0,65.0,80.0,10.0,4.0,,,,,,AREA-H OGUDU,2015
Kidnapping,10.0,2.0,8.0,20.0,4.0,,,,,,,AREA-H OGUDU,2015
Unnatural Offences,60.0,7.0,53.0,40.0,5.0,4.0,1.0,,,,,AREA-H OGUDU,2015
Other Offences,243.0,40.0,203.0,180.0,40.0,5.0,2.0,,,,,AREA-H OGUDU,2015
Armed Robbery,12.0,,12.0,40.0,10.0,3.0,,,,15.0,8.0,AREA-H OGUDU,2015
Demanding With Menance,30.0,2.0,28.0,50.0,7.0,,,,,,,AREA-H OGUDU,2015
Theft and other Stealing,1300.0,68.0,1232.0,1000.0,190.0,30.0,,,,,20.0,AREA-H OGUDU,2015
Burglary,130.0,5.0,125.0,120.0,50.0,5.0,10.0,,,,5.0,AREA-H OGUDU,2015
House Breaking,80.0,8.0,72.0,80.0,10.0,4.0,,,,,,AREA-H OGUDU,2015
Store Breaking,20.0,,20.0,30.0,5.0,,,,,,,AREA-H OGUDU,2015
"False Pretences, Cheating",380.0,30.0,350.0,450.0,50.0,12.0,,,,,10.0,AREA-H OGUDU,2015
Forgery,30.0,2.0,28.0,40.0,7.0,,,,,,,AREA-H OGUDU,2015
Receiving Stolen Property,100.0,,100.0,80.0,10.0,,,,,,,AREA-H OGUDU,2015
Unlawful Possession,230.0,10.0,220.0,170.0,100.0,3.0,,,,,,AREA-H OGUDU,2015
Arson,30.0,2.0,28.0,40.0,2.0,,,,,,7.0,AREA-H OGUDU,2015
Other Offences,260.0,7.0,253.0,200.0,40.0,20.0,7.0,4.0,,,10.0,AREA-H OGUDU,2015
Forgery of Currency Notes,,,,,,,,,,,,AREA-H OGUDU,2015
Coining Offences,,,,,,,,,,,,AREA-H OGUDU,2015
Gambling,10.0,,10.0,10.0,2.0,,,,,,4.0,AREA-H OGUDU,2015
Breach of Public Peace,290.0,30.0,260.0,295.0,280.0,80.0,20.0,15.0,,,15.0,AREA-H OGUDU,2015
Perjury,50.0,,50.0,60.0,,,,,,,,AREA-H OGUDU,2015
Bribery and Corruption,,,,,,,,,,,,AREA-H OGUDU,2015
Escape from Lawful Custody,8.0,,8.0,10.0,,2.0,,,,,,AREA-H OGUDU,2015
Other Offences,160.0,30.0,130.0,190.0,30.0,5.0,,,,,,AREA-H OGUDU,2015
Offences Against Traffic Acts,40.0,2.0,38.0,50.0,6.0,3.0,,,,,8.0,AREA-H OGUDU,2015
Offences Against Township Acts,,,,,,,,,,,,AREA-H OGUDU,2015
Offences Against Liquor Acts,,,,,,,,,,,,AREA-H OGUDU,2015
Offences Against Dog Acts,,,,,,,,,,,,AREA-H OGUDU,2015
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-H OGUDU,2015
Narcotics,1.0,,1.0,2.0,,,,,,,,AREA-H OGUDU,2015
Other Offences,,,,,,,,,,,,AREA-H OGUDU,2015
Murder,4.0,,4.0,5.0,4.0,,,,,5.0,,AREA-J ELEMORO,2015
Manslaughter,,,,,,,,,,,,AREA-J ELEMORO,2015
Attempted Murder,,,,,,,,,,,,AREA-J ELEMORO,2015
Suicide,,,,,,,,,,,,AREA-J ELEMORO,2015
Attempted Suicide,,,,,,,,,,,,AREA-J ELEMORO,2015
Grievous Harm and Wounding,130.0,3.0,127.0,90.0,50.0,10.0,,7.0,1.0,,9.0,AREA-J ELEMORO,2015
Assaults,150.0,5.0,145.0,70.0,80.0,2.0,6.0,1.0,,,,AREA-J ELEMORO,2015
Child stealing,2.0,,2.0,4.0,3.0,,,,,,,AREA-J ELEMORO,2015
Slave Dealing,,,,,,,,,,,,AREA-J ELEMORO,2015
Rape and Incident Assault,7.0,,7.0,8.0,4.0,,,,,,,AREA-J ELEMORO,2015
Kidnapping,2.0,,2.0,5.0,1.0,,,,,,,AREA-J ELEMORO,2015
Unnatural Offences,3.0,,3.0,4.0,2.0,1.0,3.0,,,,,AREA-J ELEMORO,2015
Other Offences,35.0,,35.0,25.0,10.0,5.0,1.0,1.0,1.0,,,AREA-J ELEMORO,2015
Armed Robbery,,,,,,,,,,,,AREA-J ELEMORO,2015
Demanding With Menance,1.0,,1.0,4.0,3.0,1.0,,,,,,AREA-J ELEMORO,2015
Theft and other Stealing,150.0,3.0,147.0,90.0,50.0,10.0,12.0,6.0,1.0,,,AREA-J ELEMORO,2015
Burglary,10.0,,10.0,20.0,5.0,,,,,,,AREA-J ELEMORO,2015
House Breaking,8.0,,8.0,6.0,3.0,,,,,,,AREA-J ELEMORO,2015
Store Breaking,2.0,,2.0,3.0,2.0,,,,,,,AREA-J ELEMORO,2015
"False Pretences, Cheating",100.0,,100.0,60.0,40.0,2.0,,,,,,AREA-J ELEMORO,2015
Forgery,5.0,,5.0,6.0,3.0,1.0,1.0,,,,,AREA-J ELEMORO,2015
Receiving Stolen Property,2.0,,2.0,4.0,2.0,1.0,,,,,,AREA-J ELEMORO,2015
Unlawful Possession,8.0,,8.0,10.0,2.0,1.0,,,,,,AREA-J ELEMORO,2015
Arson,1.0,,1.0,1.0,1.0,,,,,,,AREA-J ELEMORO,2015
Other Offences,15.0,,15.0,14.0,4.0,2.0,2.0,1.0,1.0,,,AREA-J ELEMORO,2015
Forgery of Currency Notes,2.0,,2.0,2.0,1.0,1.0,1.0,,,,,AREA-J ELEMORO,2015
Coining Offences,,,,,,,,,,,,AREA-J ELEMORO,2015
Gambling,,,,,,,,,,,,AREA-J ELEMORO,2015
Breach of Public Peace,15.0,,15.0,10.0,2.0,2.0,1.0,,,,,AREA-J ELEMORO,2015
Perjury,12.0,,12.0,11.0,3.0,2.0,1.0,,,,,AREA-J ELEMORO,2015
Bribery and Corruption,,,,,,,,,,,,AREA-J ELEMORO,2015
Escape from Lawful Custody,,,,,,,,,,,,AREA-J ELEMORO,2015
Other Offences,30.0,,30.0,25.0,5.0,1.0,1.0,2.0,1.0,,,AREA-J ELEMORO,2015
Offences Against Traffic Acts,,,,,,,,,,,,AREA-J ELEMORO,2015
Offences Against Township Acts,,,,,,,,,,,,AREA-J ELEMORO,2015
Offences Against Liquor Acts,,,,,,,,,,,,AREA-J ELEMORO,2015
Offences Against Dog Acts,,,,,,,,,,,,AREA-J ELEMORO,2015
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-J ELEMORO,2015
Narcotics,,,,,,,,,,,,AREA-J ELEMORO,2015
Other Offences,,,,,,,,,,,,AREA-J ELEMORO,2015
Murder,7.0,,7.0,10.0,4.0,2.0,,,,7.0,,AREA-K MOROGBO,2015
Manslaughter,,,,,,,,,,,,AREA-K MOROGBO,2015
Attempted Murder,,,,,,,,,,,,AREA-K MOROGBO,2015
Suicide,,,,,,,,,,,,AREA-K MOROGBO,2015
Attempted Suicide,,,,,,,,,,,,AREA-K MOROGBO,2015
Grievous Harm and Wounding,200.0,10.0,190.0,100.0,40.0,6.0,1.0,1.0,,,25.0,AREA-K MOROGBO,2015
Assaults,280.0,12.0,268.0,80.0,40.0,50.0,20.0,40.0,15.0,,10.0,AREA-K MOROGBO,2015
Child stealing,3.0,,3.0,5.0,3.0,,,,,,,AREA-K MOROGBO,2015
Slave Dealing,2.0,,2.0,4.0,2.0,,,,,,,AREA-K MOROGBO,2015
Rape and Incident Assault,18.0,,18.0,16.0,4.0,1.0,,,,,,AREA-K MOROGBO,2015
Kidnapping,4.0,,4.0,6.0,2.0,,,,,,,AREA-K MOROGBO,2015
Unnatural Offences,5.0,,5.0,4.0,1.0,2.0,1.0,,1.0,,,AREA-K MOROGBO,2015
Other Offences,80.0,2.0,78.0,60.0,20.0,1.0,2.0,5.0,1.0,,,AREA-K MOROGBO,2015
Armed Robbery,2.0,,2.0,8.0,2.0,,,,,,,AREA-K MOROGBO,2015
Demanding With Menance,2.0,,2.0,5.0,2.0,1.0,,,,,,AREA-K MOROGBO,2015
Theft and other Stealing,350.0,5.0,345.0,350.0,120.0,20.0,10.0,12.0,4.0,,,AREA-K MOROGBO,2015
Burglary,50.0,,50.0,40.0,30.0,,4.0,,,,,AREA-K MOROGBO,2015
House Breaking,25.0,,25.0,20.0,,,,,,,,AREA-K MOROGBO,2015
Store Breaking,9.0,,9.0,8.0,4.0,,,1.0,,,,AREA-K MOROGBO,2015
"False Pretences, Cheating",250.0,10.0,240.0,140.0,70.0,2.0,4.0,6.0,1.0,,,AREA-K MOROGBO,2015
Forgery,12.0,,12.0,10.0,4.0,2.0,,,,,,AREA-K MOROGBO,2015
Receiving Stolen Property,9.0,,9.0,12.0,6.0,1.0,1.0,2.0,,,,AREA-K MOROGBO,2015
Unlawful Possession,20.0,,20.0,14.0,4.0,3.0,2.0,,,,,AREA-K MOROGBO,2015
Arson,3.0,,3.0,4.0,2.0,,,1.0,,,2.0,AREA-K MOROGBO,2015
Other Offences,35.0,,35.0,30.0,8.0,1.0,1.0,2.0,1.0,,5.0,AREA-K MOROGBO,2015
Forgery of Currency Notes,,,,,,,,,,,,AREA-K MOROGBO,2015
Coining Offences,,,,,,,,,,,,AREA-K MOROGBO,2015
Gambling,2.0,,2.0,4.0,2.0,1.0,,,,,,AREA-K MOROGBO,2015
Breach of Public Peace,60.0,,60.0,100.0,60.0,2.0,10.0,12.0,3.0,,,AREA-K MOROGBO,2015
Perjury,30.0,,30.0,40.0,20.0,1.0,1.0,,,,,AREA-K MOROGBO,2015
Bribery and Corruption,,,,,,,,,,,,AREA-K MOROGBO,2015
Escape from Lawful Custody,,,,,,,,,,,,AREA-K MOROGBO,2015
Other Offences,30.0,,30.0,30.0,10.0,5.0,2.0,4.0,1.0,,,AREA-K MOROGBO,2015
Offences Against Traffic Acts,5.0,,5.0,6.0,5.0,1.0,,,,,,AREA-K MOROGBO,2015
Offences Against Township Acts,,,,,,,,,,,,AREA-K MOROGBO,2015
Offences Against Liquor Acts,,,,,,,,,,,,AREA-K MOROGBO,2015
Offences Against Dog Acts,,,,,,,,,,,,AREA-K MOROGBO,2015
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-K MOROGBO,2015
Narcotics,,,,,,,,,,,,AREA-K MOROGBO,2015
Other Offences,,,,,,,,,,,,AREA-K MOROGBO,2015
Murder,4.0,,4.0,4.0,2.0,,,,,4.0,,AREA-L ILASHE,2015
Manslaughter,,,,,,,,,,,,AREA-L ILASHE,2015
Attempted Murder,,,,,,,,,,,,AREA-L ILASHE,2015
Suicide,,,,,,,,,,,,AREA-L ILASHE,2015
Attempted Suicide,,,,,,,,,,,,AREA-L ILASHE,2015
Grievous Harm and Wounding,100.0,2.0,98.0,70.0,40.0,5.0,6.0,1.0,,,6.0,AREA-L ILASHE,2015
Assaults,120.0,3.0,117.0,80.0,60.0,10.0,4.0,2.0,,,,AREA-L ILASHE,2015
Child stealing,1.0,,1.0,2.0,1.0,,,,,,,AREA-L ILASHE,2015
Slave Dealing,,,,,,,,,,,,AREA-L ILASHE,2015
Rape and Incident Assault,5.0,,5.0,6.0,2.0,1.0,,,,,,AREA-L ILASHE,2015
Kidnapping,,,,,,,,,,,,AREA-L ILASHE,2015
Unnatural Offences,2.0,,2.0,2.0,1.0,1.0,2.0,,,,,AREA-L ILASHE,2015
Other Offences,25.0,,25.0,20.0,4.0,1.0,1.0,,,,,AREA-L ILASHE,2015
Armed Robbery,,,,,,,,,,,,AREA-L ILASHE,2015
Demanding With Menance,1.0,,1.0,2.0,1.0,1.0,,,1.0,,,AREA-L ILASHE,2015
Theft and other Stealing,250.0,2.0,248.0,200.0,60.0,5.0,1.0,2.0,1.0,,,AREA-L ILASHE,2015
Burglary,20.0,,20.0,30.0,10.0,5.0,,,,,,AREA-L ILASHE,2015
House Breaking,7.0,,7.0,4.0,2.0,,,,,,,AREA-L ILASHE,2015
Store Breaking,4.0,,4.0,3.0,1.0,1.0,,,,,,AREA-L ILASHE,2015
"False Pretences, Cheating",50.0,,50.0,30.0,20.0,1.0,1.0,,,,,AREA-L ILASHE,2015
Forgery,3.0,,3.0,4.0,2.0,,,,,,,AREA-L ILASHE,2015
Receiving Stolen Property,4.0,,4.0,5.0,4.0,1.0,1.0,,,,,AREA-L ILASHE,2015
Unlawful Possession,12.0,,12.0,10.0,5.0,1.0,,,,,,AREA-L ILASHE,2015
Arson,2.0,1.0,1.0,2.0,,,,,,,,AREA-L ILASHE,2015
Other Offences,20.0,,20.0,15.0,6.0,2.0,1.0,4.0,5.0,,,AREA-L ILASHE,2015
Forgery of Currency Notes,1.0,,1.0,1.0,,,,,,,,AREA-L ILASHE,2015
Coining Offences,,,,,,,,,,,,AREA-L ILASHE,2015
Gambling,,,,,,,,,,,,AREA-L ILASHE,2015
Breach of Public Peace,25.0,,20.0,20.0,10.0,1.0,1.0,,,,,AREA-L ILASHE,2015
Perjury,10.0,,10.0,8.0,4.0,1.0,,,,,,AREA-L ILASHE,2015
Bribery and Corruption,,,,,,,,,,,,AREA-L ILASHE,2015
Escape from Lawful Custody,,,,,,,,,,,,AREA-L ILASHE,2015
Other Offences,10.0,,10.0,6.0,2.0,1.0,3.0,2.0,1.0,,,AREA-L ILASHE,2015
Offences Against Traffic Acts,,,,,,,,,,,,AREA-L ILASHE,2015
Offences Against Township Acts,,,,,,,,,,,,AREA-L ILASHE,2015
Offences Against Liquor Acts,,,,,,,,,,,,AREA-L ILASHE,2015
Offences Against Dog Acts,,,,,,,,,,,,AREA-L ILASHE,2015
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-L ILASHE,2015
Narcotics,,,,,,,,,,,,AREA-L ILASHE,2015
Other Offences,,,,,,,,,,,,AREA-L ILASHE,2015
Murder,20.0,,20.0,30.0,5.0,,,,,20.0,,AREA-M IDIMU,2015
Manslaughter,1.0,,1.0,2.0,,,,,,1.0,,AREA-M IDIMU,2015
Attempted Murder,5.0,,5.0,6.0,,,,,,,,AREA-M IDIMU,2015
Suicide,3.0,,3.0,,,,,,,3.0,,AREA-M IDIMU,2015
Attempted Suicide,2.0,,2.0,2.0,1.0,,,,,,,AREA-M IDIMU,2015
Grievous Harm and Wounding,500.0,40.0,460.0,300.0,80.0,30.0,8.0,2.0,3.0,,60.0,AREA-M IDIMU,2015
Assaults,760.0,50.0,710.0,600.0,90.0,40.0,9.0,,,,80.0,AREA-M IDIMU,2015
Child stealing,20.0,2.0,18.0,30.0,4.0,2.0,,,,,,AREA-M IDIMU,2015
Slave Dealing,3.0,1.0,2.0,4.0,,,,,,,,AREA-M IDIMU,2015
Rape and Incident Assault,40.0,5.0,35.0,40.0,10.0,3.0,,,,,,AREA-M IDIMU,2015
Kidnapping,10.0,4.0,6.0,30.0,2.0,,,,,,,AREA-M IDIMU,2015
Unnatural Offences,20.0,4.0,16.0,20.0,3.0,,,,,,,AREA-M IDIMU,2015
Other Offences,230.0,35.0,195.0,250.0,20.0,5.0,,,,,,AREA-M IDIMU,2015
Armed Robbery,8.0,,8.0,30.0,3.0,1.0,,,,7.0,2.0,AREA-M IDIMU,2015
Demanding With Menance,10.0,1.0,9.0,20.0,4.0,,,,,,,AREA-M IDIMU,2015
Theft and other Stealing,1055.0,70.0,985.0,1000.0,100.0,10.0,,,,,20.0,AREA-M IDIMU,2015
Burglary,100.0,3.0,97.0,100.0,50.0,,6.0,,,,5.0,AREA-M IDIMU,2015
House Breaking,90.0,3.0,87.0,85.0,5.0,,,,,,,AREA-M IDIMU,2015
Store Breaking,45.0,2.0,43.0,50.0,8.0,,,,,,,AREA-M IDIMU,2015
"False Pretences, Cheating",300.0,40.0,260.0,400.0,100.0,4.0,,,,,10.0,AREA-M IDIMU,2015
Forgery,40.0,1.0,39.0,50.0,8.0,,,,,,4.0,AREA-M IDIMU,2015
Receiving Stolen Property,100.0,,100.0,90.0,,,,,,,,AREA-M IDIMU,2015
Unlawful Possession,130.0,5.0,125.0,120.0,20.0,1.0,,,,,,AREA-M IDIMU,2015
Arson,30.0,1.0,29.0,30.0,3.0,,,,,,4.0,AREA-M IDIMU,2015
Other Offences,300.0,5.0,295.0,300.0,20.0,20.0,3.0,2.0,,,10.0,AREA-M IDIMU,2015
Forgery of Currency Notes,1.0,,1.0,1.0,,,,,,,,AREA-M IDIMU,2015
Coining Offences,1.0,,1.0,1.0,,,,,,,,AREA-M IDIMU,2015
Gambling,7.0,,7.0,7.0,,,,,,,,AREA-M IDIMU,2015
Breach of Public Peace,410.0,50.0,360.0,425.0,200.0,70.0,50.0,15.0,,,15.0,AREA-M IDIMU,2015
Perjury,40.0,,40.0,50.0,,,,,,,,AREA-M IDIMU,2015
Bribery and Corruption,1.0,,1.0,2.0,,,,,,,,AREA-M IDIMU,2015
Escape from Lawful Custody,10.0,,10.0,5.0,7.0,,,,,,,AREA-M IDIMU,2015
Other Offences,150.0,10.0,140.0,150.0,30.0,5.0,2.0,,2.0,,5.0,AREA-M IDIMU,2015
Offences Against Traffic Acts,50.0,2.0,48.0,60.0,7.0,4.0,,,,,7.0,AREA-M IDIMU,2015
Offences Against Township Acts,,,,,,,,,,,,AREA-M IDIMU,2015
Offences Against Liquor Acts,,,,,,,,,,,,AREA-M IDIMU,2015
Offences Against Dog Acts,,,,,,,,,,,,AREA-M IDIMU,2015
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-M IDIMU,2015
Narcotics,,,,,,,,,,,,AREA-M IDIMU,2015
Other Offences,2.0,,2.0,4.0,,,,,,,,AREA-M IDIMU,2015
Murder,14.0,,14.0,18.0,5.0,,,,,20.0,,AREA-N IJEDE,2015
Manslaughter,1.0,,1.0,1.0,,,,,,2.0,,AREA-N IJEDE,2015
Attempted Murder,6.0,,6.0,5.0,1.0,,,,,,,AREA-N IJEDE,2015
Suicide,2.0,,2.0,,,,,,,2.0,,AREA-N IJEDE,2015
Attempted Suicide,1.0,,1.0,1.0,,,,,,,,AREA-N IJEDE,2015
Grievous Harm and Wounding,430.0,30.0,400.0,200.0,60.0,7.0,2.0,,,,60.0,AREA-N IJEDE,2015
Assaults,600.0,50.0,550.0,350.0,100.0,15.0,6.0,,,,50.0,AREA-N IJEDE,2015
Child stealing,30.0,4.0,26.0,25.0,6.0,1.0,,,,,,AREA-N IJEDE,2015
Slave Dealing,4.0,,4.0,5.0,,,,,,,,AREA-N IJEDE,2015
Rape and Incident Assault,50.0,5.0,45.0,60.0,10.0,2.0,,,,,1.0,AREA-N IJEDE,2015
Kidnapping,80.0,5.0,75.0,80.0,6.0,,,,,,,AREA-N IJEDE,2015
Unnatural Offences,30.0,2.0,28.0,25.0,2.0,,,,,,,AREA-N IJEDE,2015
Other Offences,370.0,25.0,345.0,280.0,40.0,8.0,,,,,,AREA-N IJEDE,2015
Armed Robbery,12.0,,12.0,20.0,4.0,2.0,,,,10.0,8.0,AREA-N IJEDE,2015
Demanding With Menance,15.0,2.0,13.0,20.0,6.0,,,,,,,AREA-N IJEDE,2015
Theft and other Stealing,850.0,70.0,780.0,1000.0,100.0,30.0,,,,,30.0,AREA-N IJEDE,2015
Burglary,100.0,3.0,97.0,140.0,20.0,,6.0,,,,,AREA-N IJEDE,2015
House Breaking,80.0,5.0,75.0,70.0,15.0,,,,,,,AREA-N IJEDE,2015
Store Breaking,55.0,1.0,54.0,60.0,5.0,,,,,,,AREA-N IJEDE,2015
"False Pretences, Cheating",400.0,30.0,370.0,500.0,30.0,4.0,,,,,5.0,AREA-N IJEDE,2015
Forgery,50.0,,50.0,50.0,15.0,,,,,,,AREA-N IJEDE,2015
Receiving Stolen Property,90.0,,90.0,100.0,,,,,,,,AREA-N IJEDE,2015
Unlawful Possession,110.0,5.0,105.0,80.0,40.0,3.0,,,,,,AREA-N IJEDE,2015
Arson,30.0,1.0,29.0,15.0,,,,,,,4.0,AREA-N IJEDE,2015
Other Offences,250.0,4.0,246.0,250.0,10.0,10.0,1.0,,,,5.0,AREA-N IJEDE,2015
Forgery of Currency Notes,1.0,,1.0,1.0,,,,,,,,AREA-N IJEDE,2015
Coining Offences,,,,,,,,,,,,AREA-N IJEDE,2015
Gambling,10.0,,10.0,10.0,,,,,,,4.0,AREA-N IJEDE,2015
Breach of Public Peace,450.0,30.0,420.0,500.0,200.0,40.0,30.0,10.0,,,10.0,AREA-N IJEDE,2015
Perjury,20.0,,20.0,25.0,,,,,,,,AREA-N IJEDE,2015
Bribery and Corruption,1.0,,1.0,3.0,,,,,,,,AREA-N IJEDE,2015
Escape from Lawful Custody,3.0,,3.0,3.0,2.0,,,,,,,AREA-N IJEDE,2015
Other Offences,200.0,10.0,190.0,150.0,50.0,2.0,,1.0,1.0,,,AREA-N IJEDE,2015
Offences Against Traffic Acts,30.0,1.0,29.0,40.0,3.0,1.0,,,,,10.0,AREA-N IJEDE,2015
Offences Against Township Acts,,,,,,,,,,,,AREA-N IJEDE,2015
Offences Against Liquor Acts,,,,,,,,,,,,AREA-N IJEDE,2015
Offences Against Dog Acts,,,,,,,,,,,,AREA-N IJEDE,2015
Offences Against Fire Arms Acts,,,,,,,,,,,,AREA-N IJEDE,2015
Narcotics,,,,,,,,,,,,AREA-N IJEDE,2015
Other Offences,2.0,,2.0,2.0,,,,,,,,AREA-N IJEDE,2015
